ORDER_ID,EVENT_TYPE,EVENT_TIMESTAMP,CUSTOMER_ID,RESTAURANT_ID,ORDER_DATE,TOTAL_AMOUNT,STATUS,PAYMENT_METHOD
1,ORDER_CREATED,2025-11-25 16:04:44.836 -0800,1053,204,2025-12-10 06:51:14.836 -0800,1701,PREPARING,WALLET
2,ORDER_CREATED,2025-12-10 01:11:59.836 -0800,1044,203,2025-12-02 00:02:49.836 -0800,577,PREPARING,UPI
3,ORDER_CREATED,2025-12-19 00:24:58.836 -0800,1048,210,2025-11-25 21:14:20.836 -0800,1657,PREPARING,CASH_ON_DELIVERY
4,ORDER_CREATED,2025-12-08 02:36:31.836 -0800,1013,207,2025-11-28 20:03:13.836 -0800,974,CONFIRMED,CASH_ON_DELIVERY
5,ORDER_CREATED,2025-11-25 02:42:07.836 -0800,1047,211,2025-12-09 22:27:26.836 -0800,450,DELIVERED,DEBIT_CARD
6,ORDER_CREATED,2025-12-12 21:52:06.836 -0800,1032,206,2025-12-10 08:40:53.836 -0800,1189,PLACED,WALLET
7,ORDER_CREATED,2025-12-19 00:19:33.836 -0800,1016,211,2025-12-20 02:37:39.836 -0800,318,CANCELLED,CASH_ON_DELIVERY
8,ORDER_CREATED,2025-12-22 14:53:49.836 -0800,1028,210,2025-12-08 17:09:06.836 -0800,792,PREPARING,CASH_ON_DELIVERY
9,ORDER_CREATED,2025-12-05 10:35:36.836 -0800,1004,220,2025-11-26 07:28:00.836 -0800,816,OUT_FOR_DELIVERY,DEBIT_CARD
10,ORDER_CREATED,2025-12-22 16:01:54.836 -0800,1059,218,2025-12-12 10:39:39.836 -0800,1406,CONFIRMED,CREDIT_CARD
11,ORDER_CREATED,2025-12-16 11:11:38.836 -0800,1055,219,2025-11-24 23:35:52.836 -0800,797,PLACED,CASH_ON_DELIVERY
12,ORDER_CREATED,2025-12-19 23:07:42.836 -0800,1057,207,2025-12-23 01:07:25.836 -0800,1727,OUT_FOR_DELIVERY,DEBIT_CARD
13,ORDER_CREATED,2025-12-12 00:08:24.836 -0800,1041,217,2025-12-14 22:37:03.836 -0800,1337,PREPARING,CREDIT_CARD
14,ORDER_CREATED,2025-12-16 00:42:55.836 -0800,1015,213,2025-12-18 16:59:21.836 -0800,950,DELIVERED,UPI
15,ORDER_CREATED,2025-12-14 09:47:46.836 -0800,1084,208,2025-12-09 15:14:55.836 -0800,1803,OUT_FOR_DELIVERY,CREDIT_CARD
16,ORDER_CREATED,2025-12-01 21:42:33.836 -0800,1012,215,2025-11-24 20:33:54.836 -0800,262,PLACED,CASH_ON_DELIVERY
17,ORDER_CREATED,2025-12-09 05:05:06.836 -0800,1070,211,2025-12-02 03:29:54.836 -0800,1038,CANCELLED,CREDIT_CARD
18,ORDER_CREATED,2025-12-15 04:28:59.836 -0800,1028,214,2025-12-22 09:37:36.836 -0800,437,DELIVERED,CASH_ON_DELIVERY
19,ORDER_CREATED,2025-12-05 06:30:00.836 -0800,1009,218,2025-12-06 20:54:33.836 -0800,118,PLACED,DEBIT_CARD
20,ORDER_CREATED,2025-12-08 04:43:26.836 -0800,1031,216,2025-11-27 09:24:03.836 -0800,1536,CONFIRMED,DEBIT_CARD
21,ORDER_CREATED,2025-11-24 11:05:47.836 -0800,1027,211,2025-11-29 17:42:41.836 -0800,621,PLACED,WALLET
22,ORDER_CREATED,2025-12-14 10:07:42.836 -0800,1010,217,2025-11-29 16:20:54.836 -0800,1903,CONFIRMED,CASH_ON_DELIVERY
23,ORDER_CREATED,2025-11-28 02:11:46.836 -0800,1087,212,2025-12-17 06:42:44.836 -0800,1497,CANCELLED,UPI
24,ORDER_CREATED,2025-12-15 18:40:00.836 -0800,1058,205,2025-11-28 01:14:17.836 -0800,1351,PREPARING,CREDIT_CARD
25,ORDER_CREATED,2025-12-10 11:28:24.836 -0800,1014,201,2025-12-12 13:56:01.836 -0800,1331,OUT_FOR_DELIVERY,UPI
26,ORDER_CREATED,2025-12-22 07:49:40.836 -0800,1073,210,2025-12-06 19:07:36.836 -0800,1637,DELIVERED,CASH_ON_DELIVERY
27,ORDER_CREATED,2025-11-24 16:14:41.836 -0800,1007,209,2025-12-16 14:01:32.836 -0800,180,PREPARING,CASH_ON_DELIVERY
28,ORDER_CREATED,2025-12-14 19:07:13.836 -0800,1059,215,2025-12-16 02:08:29.836 -0800,1390,CONFIRMED,DEBIT_CARD
29,ORDER_CREATED,2025-12-03 21:44:58.836 -0800,1075,213,2025-12-12 14:49:06.836 -0800,1921,PREPARING,DEBIT_CARD
30,ORDER_CREATED,2025-12-06 15:35:52.836 -0800,1043,218,2025-11-30 20:56:00.836 -0800,1632,DELIVERED,WALLET
31,ORDER_CREATED,2025-12-01 22:48:33.836 -0800,1058,208,2025-12-05 14:34:20.836 -0800,1276,PLACED,CREDIT_CARD
32,ORDER_CREATED,2025-11-24 19:44:15.836 -0800,1037,205,2025-11-29 12:38:43.836 -0800,540,CONFIRMED,UPI
33,ORDER_CREATED,2025-11-28 17:25:41.836 -0800,1008,217,2025-11-30 06:55:37.836 -0800,1484,PLACED,CASH_ON_DELIVERY
34,ORDER_CREATED,2025-12-20 20:46:08.836 -0800,1051,214,2025-11-28 00:54:46.836 -0800,449,PLACED,UPI
35,ORDER_CREATED,2025-12-08 01:14:37.836 -0800,1038,201,2025-12-10 00:16:56.836 -0800,1532,CANCELLED,UPI
36,ORDER_CREATED,2025-12-22 01:32:15.836 -0800,1029,203,2025-12-06 17:34:08.836 -0800,1368,PREPARING,DEBIT_CARD
37,ORDER_CREATED,2025-12-23 01:24:28.836 -0800,1077,215,2025-12-16 06:00:37.836 -0800,1881,PREPARING,WALLET
38,ORDER_CREATED,2025-11-30 17:27:36.836 -0800,1075,214,2025-12-20 23:31:08.836 -0800,1973,PLACED,UPI
