OrderID,MenuID,Quantity,Price,Subtotal,ORDER_TIMETAMP
1,1,1,187,187,2025-12-24 10:46:03.430 -0800
2,3,2,651,1302,2025-12-24 10:46:03.430 -0800
2,4,2,187,374,2025-12-24 10:46:03.430 -0800
3,5,3,187,561,2025-12-24 10:46:03.430 -0800
4,9,2,269,538,2025-12-24 10:46:03.430 -0800
5,11,1,161,161,2025-12-24 10:46:03.430 -0800
5,12,1,111,111,2025-12-24 10:46:03.430 -0800
6,11,2,180,360,2025-12-24 10:46:03.430 -0800
6,12,2,221,442,2025-12-24 10:46:03.430 -0800
6,10,1,196,196,2025-12-24 10:46:03.430 -0800
7,10,3,306,918,2025-12-24 10:46:03.430 -0800
8,5,3,134,402,2025-12-24 10:46:03.430 -0800
8,6,3,242,726,2025-12-24 10:46:03.430 -0800
8,7,2,231,462,2025-12-24 10:46:03.430 -0800
